Ticker,ESG_Score,Avg_Sentiment,Avg_Sentiment_Vol,Avg_Sharpe,Avg_Volatility,n_months,Avg_Vol_Regime,ESG_Score_norm,Sentiment_norm,Greenwashing_Index,GW_Category
A,1090.7558139534883,0.028143598317648875,0.0,0.6805726116130743,0.017096585278012943,86,0.9995562593701927,0.5516745629799051,0.474577442713197,0.07709712026670812,Aligned
AAPL,824.6511627906976,0.0645611384689788,0.0,1.4464950642909207,0.017420671056387647,86,0.9809018875237407,0.17779774546642702,0.6785504730639029,-0.5007527275974759,Outperformer
ABBV,990.7790697674419,0.022897325441900266,0.0,1.1698247452140698,0.014796581105854238,86,1.0148311754030666,0.41120731906551233,0.44519330056448364,-0.03398598149897131,Aligned
ABT,1373.6511627906978,0.01626717757436018,0.0,0.6516713416221533,0.01445906353604166,86,1.0143849292401166,0.9491422970102927,0.4080581358445229,0.5410841611657699,High Risk
ACGL,833.0348837209302,0.0018778394449091992,0.0,1.3580815261153723,0.016440711181561533,86,1.005737716112986,0.18957686652507766,0.3274640899312409,-0.13788722340616322,Aligned
ACN,932.6395348837209,0.009266328327524373,0.0,0.8874114072056499,0.016524846396349956,86,1.055647620072402,0.3295213200457441,0.3688466891083707,-0.039325369062626625,Aligned
ADBE,722.3139534883721,-0.0415731139844552,0.0,0.7859998463699619,0.020088011367373225,86,0.9610030998018129,0.03401404999183155,0.08409722314709886,-0.05008317315526731,Aligned
ADI,703.0697674418604,0.05243783102111962,0.0,0.8019328273592625,0.020135570641786085,86,1.0112251739053066,0.0069759843162882085,0.6106483646914675,-0.6036723803751793,Outperformer
ADM,822.5813953488372,-0.0015903599351538083,0.0,0.608810550481447,0.016870835263355283,86,1.0488797210921543,0.1748897239013234,0.30803885872473236,-0.13314913482340895,Aligned
ADP,934.8023255813954,0.01572535518707033,0.0,0.8923114263417381,0.014180966072955025,86,1.0224189746702523,0.33256003920927957,0.4050234126372958,-0.07246337342801623,Aligned
ADSK,878.6976744186046,-0.001408679416865336,0.0,0.7107192126620191,0.02132397603933213,86,0.9980802112517023,0.2537330501552033,0.30905644326550574,-0.05532339311030243,Aligned
AEE,1126.3720930232557,0.05250672730876056,0.0,0.7958900543086354,0.012569707331058295,86,1.0042868820550408,0.601715405979415,0.611034249748823,-0.009318843769408058,Aligned
AEP,938.8372093023256,0.03976324317655372,0.0,1.0418966215105105,0.012683431572741962,86,1.0108988452666807,0.3382290475412515,0.5396585592197238,-0.20142951167847234,Outperformer
AES,1315.2674418604652,0.010103570466588465,0.0,0.435601186447013,0.021468610600896013,86,0.999975496560544,0.8671132167946416,0.37353604526841255,0.49357717152622904,High Risk
AFL,1213.4883720930231,0.03630326478328401,0.0,1.0224953182924639,0.014417280314401742,86,0.9957783904554621,0.7241137069106354,0.5202793733963393,0.20383433351429603,Moderate Risk
AIG,733.5232558139535,-0.005104420489992355,0.0,0.8565479698589262,0.018466409326274958,86,0.99025521409369,0.049763110602842664,0.28835676110836916,-0.2385936505055265,Outperformer
AIZ,1243.6744186046512,0.023802366422380948,0.0,1.0470348991198266,0.015380527308979123,86,0.9817828458250382,0.7665250776016992,0.4502623950341571,0.3162626825675421,Moderate Risk
AJG,747.8837209302326,0.010183055063419237,0.0,1.2016144379319265,0.013860649035667902,86,1.0359873220497333,0.06993955236072535,0.37398123497684443,-0.3040416826161191,Outperformer
AKAM,1291.6627906976744,0.011375507474616782,0.0,0.6786039259255815,0.017367212394920548,86,0.9822148707544535,0.8339487011926157,0.3806601081475818,0.4532885930450339,High Risk
ALB,843.0232558139535,0.0353622329891115,0.0,0.36854517167163703,0.03108645483649968,86,1.0071541848972514,0.20361052115667366,0.5150086959723257,-0.311398174815652,Outperformer
ALGN,801.8488372093024,-0.027748089268089426,0.0,0.3328585701186163,0.030918935804411424,86,1.0307084889352411,0.1457604966508741,0.1615305746132482,-0.01577007796237412,Aligned
ALL,762.9302325581396,0.03421381473158256,0.0,1.039067438048698,0.015345898922713774,86,1.004284942987702,0.09107988890704144,0.5085764561470968,-0.41749656724005535,Outperformer
ALLE,1089.4651162790697,0.007149814827954082,0.0,0.5194868097005285,0.016582864502595995,86,1.0156780360804971,0.5498611338016663,0.356992190685589,0.19286894311607733,Moderate Risk
AMAT,1362.406976744186,0.03631779792165231,0.0,1.0211009380227936,0.026755580709199055,86,1.0135794484591738,0.9333442247998693,0.5203607728610251,0.4129834519388442,High Risk
AMCR,809.7674418604652,0.006909263561670577,0.0,0.35095152158411164,0.015466957949813872,86,0.9856325440868741,0.15688612971736648,0.35564487369123254,-0.19875874397386606,Outperformer
AMD,829.8488372093024,-0.007332706319730503,0.0,0.8576690976500195,0.032018882441055906,86,0.979812256645938,0.18510047377879446,0.27587623081196394,-0.09077575703316948,Aligned
AME,834.3023255813954,0.036661203121575905,0.0,1.1644358830362793,0.014091780896285582,86,0.9971523700294496,0.1913576213037087,0.5222841701848294,-0.3309265488811207,Outperformer
AMGN,1298.7441860465117,0.02077777009671903,0.0,0.37826857391804264,0.014618156071368953,86,0.9806469599429442,0.8438980558732234,0.4333217648990836,0.41057629097413983,High Risk
AMP,1239.8837209302326,0.011197049789352253,0.0,1.1320915981529716,0.018745054032241505,86,1.0003372460241984,0.7611991504656104,0.3796605745519156,0.3815385759136948,High Risk
AMT,1003.9418604651163,0.010517971875324878,0.0,0.6009062331569961,0.016104765066686823,86,1.0110163450852063,0.42970102924358766,0.3758570892151021,0.05384394002848558,Aligned
AMZN,1316.9883720930231,0.049452203239581424,0.0,0.6360791898815645,0.020007141411081068,86,0.9913002255507211,0.8695311223656266,0.5939259956470728,0.27560512671855375,Moderate Risk
ANET,1285.4302325581396,0.05219022606646102,0.0,1.1986685649077728,0.026187189943086307,86,0.9828107953751385,0.8251919620976966,0.6092615403007566,0.21593042179694,Moderate Risk
AON,1276.1046511627908,0.012623967234891299,0.0,0.9083246119924816,0.014589757479888789,86,1.0312075941291214,0.8120895278549258,0.38765267600131176,0.42443685185361407,High Risk
AOS,1079.3139534883721,-0.027578740143235723,0.0,0.17107280728042285,0.01746815882915021,86,1.0125212636496392,0.535598758372815,0.16247909156524745,0.3731196668075676,High Risk
APA,1298.1162790697674,-0.003332044443308678,0.0,0.22677263846905796,0.033934197790430595,86,0.9782775832675537,0.8430158470838098,0.29828376089091413,0.5447320861928957,High Risk
APD,1218.4651162790697,0.01024406948192389,0.0,0.8223644339264545,0.015356995276543122,86,0.9740541893458271,0.7311060284267277,0.3743229740340615,0.35678305439266617,High Risk
APH,1303.093023255814,0.06893870126779869,0.0,1.4790451428938514,0.01695182109779483,86,1.0506118592096714,0.8500081685999021,0.7030690085255356,0.14693916007436658,Aligned
APO,1073.7790697674418,0.0169838143558183,0.0,1.0057945938772048,0.022897846742699277,86,1.0032322293551161,0.527822251266133,0.41207198673525774,0.11575026453087528,Aligned
APTV,1299.0,0.02971323084677239,0.0,0.42466189084093475,0.024112034743347,86,0.9943403481278228,0.8442574742689104,0.4833688850284099,0.3608885892405005,High Risk
ARE,1361.360465116279,-0.02445769873264725,0.0,0.3805869154094319,0.017437840550842257,86,1.0377352034301406,0.9318738768175137,0.17995990635181466,0.751913970465699,High Risk
ARES,760.2325581395348,0.0661058130266123,0.0,1.3584837918476604,0.020932349686877495,86,1.0172997021819632,0.08728965855252402,0.6872021268855748,-0.5999124683330508,Outperformer
ATO,1018.2558139534884,0.07603239867870105,0.0,0.9386099967435425,0.012535849142717442,86,1.0103484175804283,0.44981212220225464,0.7428004937186636,-0.292988371516409,Outperformer
AVB,967.9651162790698,-0.010328628707949202,0.0,0.640028377043863,0.014550872402183574,86,1.0123222562530996,0.3791537330501553,0.25909620213124657,0.12005753091890875,Aligned
AVGO,1104.1279069767443,0.05499812154981149,0.0,1.2311548539357093,0.023463948567795802,86,1.0046375854980445,0.5704623427544522,0.6249884386103927,-0.05452609585594048,Aligned
AVY,833.4186046511628,-0.005419003536690176,0.0,0.8466450189265522,0.016596773107140413,86,1.029833612194491,0.19011599411860813,0.2865947953889583,-0.09647880127035019,Aligned
AWK,924.2558139534884,0.003274147808461543,0.0,0.4899851426773924,0.014236813609894679,86,1.0129250665616056,0.31774219898709366,0.33528475126735274,-0.017542552280259083,Aligned
AXON,1130.7093023255813,0.020199861124485376,0.0,1.0739289487145516,0.027907640457584818,86,0.9699520675982302,0.6078091815062898,0.43008492232697326,0.17772425917931656,Moderate Risk
AXP,925.0581395348837,0.08378129786593087,0.0,0.9226900510177841,0.019001975784264914,86,1.0315935898135322,0.31886946577356645,0.7862017350582347,-0.4673322692846682,Outperformer
AZO,906.2325581395348,0.03433112570779581,0.0,0.8858898917696596,0.01523689930301726,86,1.0239078600010345,0.2924195392909654,0.5092335097320502,-0.21681397044108475,Outperformer
BA,747.1279069767442,-0.0007175051271206758,0.0,0.2084440762401364,0.024545345916795764,86,1.0041558760220155,0.06887763437346828,0.31292767986726083,-0.24405004549379256,Outperformer
BAC,1121.5232558139535,0.06013032761916016,0.0,0.7313059795026476,0.017727732423019074,86,0.9827863723989934,0.5949027936611666,0.6537336976256725,-0.058830903964505854,Aligned
BALL,707.0232558139535,-0.0005450748682642131,0.0,0.7647047437599205,0.0175604699923918,86,1.0012351274159759,0.012530632249632356,0.31389345411442193,-0.3013628218647896,Outperformer
BAX,810.453488372093,-0.045200262895575896,0.0,0.011160513179611963,0.017769560927367898,86,1.0198485140089255,0.15785002450579966,0.06378172265310039,0.09406830185269927,Aligned
BBY,1225.8953488372092,0.024337393275501065,0.0,0.3331784470946102,0.022927762409308595,86,1.02307460774682,0.7415454991014541,0.45325905675530653,0.28828644234614753,Moderate Risk
BDX,1129.5697674418604,0.012465133122498195,0.0,0.4996947348886196,0.013984146623805939,86,0.9710724270848914,0.6062081359255025,0.3867630531686531,0.21944508275684937,Moderate Risk
BEN,1368.7558139534883,-0.0059635661205572465,0.0,0.08345432739912914,0.020477857865317837,86,0.9911927247518988,0.942264335892828,0.28354472446199813,0.6587196114308298,High Risk
BF-B,830.5232558139535,-0.01470983827815224,0.0,-0.022466778553202508,0.01605895911144711,86,0.9935043895917627,0.18604803136742354,0.2345572412645228,-0.048509209897099254,Aligned
BG,1004.8372093023256,0.0031321047279842776,0.0,0.5851489522139423,0.01860449971767476,86,1.0162319988450994,0.4309589936284921,0.334489174261193,0.09646981936729909,Aligned
BIIB,1050.9302325581396,-0.005535695045408872,0.0,-0.24183500143486156,0.02276126853550395,86,1.0331958402188028,0.49571965365136417,0.2859412114140209,0.20977844223734327,Moderate Risk
BK,872.0813953488372,0.12195304480921235,0.0,1.1925692348309276,0.016119712645546916,86,0.9821790816652611,0.2444371834667538,1.0,-0.7555628165332462,Outperformer
BKNG,1240.1511627906978,0.03418505482793125,0.0,0.826518155077067,0.01980033773243548,86,1.0093803910767531,0.7615749060611012,0.5084153731998143,0.2531595328612869,Moderate Risk
BKR,1035.1744186046512,0.06748054536518354,0.0,0.6900290041253746,0.023124480079807753,86,0.9935867475915399,0.47358274791700716,0.6949019418608388,-0.2213191939438316,Outperformer
BLDR,1283.8139534883721,-0.030706100978974197,0.0,0.984103045449104,0.0285210476086223,86,0.9947739749540124,0.8229210913249472,0.14496288195814697,0.6779582093668002,High Risk
BLK,734.4767441860465,0.052584749177877026,0.0,0.8497754593506045,0.015989415105665875,86,0.9886796354886794,0.051102760986766915,0.6114712467840753,-0.5603684857973084,Outperformer
BMY,791.5,0.02536782965083551,0.0,0.26467685504502164,0.014658725316681965,86,1.0133139872242856,0.13122038882535536,0.459030485280879,-0.3278100964555236,Outperformer
BR,1114.8837209302326,0.024901105843090618,0.0,0.8292496836160338,0.013982599799400973,86,0.9873699186596498,0.5855742525731091,0.4564163858934147,0.12915786667969442,Aligned
BRK-B,1191.5,0.023095729835736434,0.0,0.9486060364259684,0.010994459032025656,86,0.9779801102801059,0.6932200620813593,0.44630455479191067,0.24691550728944867,Moderate Risk
BRO,1382.953488372093,-0.03790540764616204,0.0,1.1658950549066232,0.014916364511869104,86,1.0572795811168094,0.9622120568534553,0.10463988399539964,0.8575721728580556,High Risk
BSX,880.5116279069767,0.024785517318285575,0.0,1.2136867459648302,0.015667405527963002,86,1.0119785378139148,0.25628165332462016,0.4557689796825537,-0.19948732635793354,Outperformer
BX,828.5697674418604,0.02908080828739232,0.0,1.2626502718454171,0.02191834838143276,86,1.0051521931158918,0.18330338180035932,0.4798267142677582,-0.29652333246739887,Outperformer
BXP,1254.7558139534883,-0.0128285896517473,0.0,0.15693132531109244,0.019973992119361437,86,1.0132511325578055,0.7820944290148668,0.2450940315467985,0.5370003974680683,High Risk
C,936.3139534883721,0.07935286782954636,0.0,0.7051410580291462,0.019026680610914608,86,0.9921805011722907,0.3346838751837935,0.761398294450661,-0.4267144192668675,Outperformer
CAG,1151.4302325581396,-0.04825846313660077,0.0,0.2343043823271139,0.015935847245397997,86,0.9935762042014684,0.6369220715569353,0.04665287847556959,0.5902691930813657,High Risk
CAH,1027.7209302325582,0.0914138060783618,0.0,1.1268145806221506,0.016410916004398788,86,0.9662613579103102,0.4631106028426728,0.8289510757000498,-0.365840472857377,Outperformer
CAT,1126.8255813953488,0.022413877050354178,0.0,0.872258202480137,0.01864300627063901,86,0.99634970107591,0.6023525567717694,0.44248552752346926,0.1598670292483001,Moderate Risk
CB,931.1046511627907,0.053065275831999416,0.0,1.1280205290920415,0.014259357529320638,86,1.0063981900657633,0.3273648096716222,0.6141626553031114,-0.28679784563148925,Outperformer
CBOE,1307.8255813953488,0.0518847336195078,0.0,1.0906417113786733,0.014669453671502493,86,0.981188325351541,0.8566574089201111,0.6075504906281162,0.24910691829199494,Moderate Risk
CBRE,1015.1046511627907,0.039450690022192675,0.0,1.1026584957519912,0.01998787537604739,86,1.0272568658388181,0.44538474105538306,0.5379079628374372,-0.09252322178205419,Aligned
CCI,1003.8720930232558,0.0011447220985083962,0.0,0.4790047336416386,0.016032216108103466,86,1.023622324755764,0.429603006044764,0.3233579321257808,0.10624507391898319,Aligned
CCL,1207.139534883721,0.06065702187478987,0.0,0.3174159115822077,0.035097328553392565,86,1.0429681018568349,0.7151935958176769,0.6566836888371239,0.05850990698055303,Aligned
CDNS,1020.4186046511628,-0.0006811307185395,0.0,1.3206965043721433,0.021412733325167802,86,1.0192336399899828,0.4528508413657899,0.3131314113195964,0.13971943004619353,Aligned
CDW,1247.1627906976744,-0.052515691690816504,0.0,0.5010014729076345,0.01798165648926946,86,0.9976637991526633,0.7714262375428851,0.022808329791321746,0.7486179077515633,High Risk
