Ticker,YearMonth,DailyReturn,Return_7d,Return_14d,Return_30d,Volatility_14d,Volatility_30d,DownsideVol_30d,Sharpe_30d,MA_Spread,RSI_14,Volume_norm,BB_Position,MACD_Signal,Volume_Surge,Momentum_Accel,ATR_norm,Position_52w,Return_12m_skip1,Vol_Regime,MeanRev_Z,ESG_Score,Forward_Return,Regime,ESG_Risk_Label,Anomaly_Score,Anomaly_Raw
A,2020-03,-0.0144486903489676,0.080383500342263,0.0430311568809911,-0.1531753204426578,0.0590519065315823,0.0501387040961315,0.0281565158444311,-1.366171400684714,-0.0300998124782781,48.44566641757487,-0.033626802084239,0.5525210370416952,0.979615881624118,0.5657360374569975,0.2335588207849208,0.0736567549753994,0.315107238595585,0.0115380992330278,3.160122117819483,-1.0465305964621674,1105.0,0.0730955422723844,COVID crash,1,-1,-0.5831220150169132
AAPL,2020-03,-0.0020406614305633,0.1092741429516119,-0.0767525414207882,-0.2028526883883131,0.0695937192896593,0.057696193384481,0.0330568662960702,-1.6290635543678031,-0.0647124479308449,46.0162573372676,-0.0124923283691431,0.4417089470739386,0.5044932356496972,0.7011745943319045,0.3121268313399251,0.0738245748490591,0.5310659569487325,0.5829379304196252,3.09192806410328,-1.3369812109865544,745.0,0.1553735138072263,COVID crash,2,-1,-0.608805118289653
ABBV,2020-03,0.0126261767213318,0.1070907108288556,-0.1020625960019159,-0.1860913818730636,0.0598815512978283,0.0443358839922638,0.0287969736380773,-2.1036451464427195,-0.0671716867200981,46.85566623315188,0.022859543261768,0.4632084295199762,0.3501983889398072,1.1926238639524334,0.2931820927019193,0.0895974408455977,0.408909229333619,0.161392279839982,2.688697522632247,-1.0922611591777085,966.0,0.0788816994212091,COVID crash,1,-1,-0.5851967658149616
ABT,2020-02,-0.0272757756294096,-0.1379810366893549,-0.1233641544381193,-0.1184481707038651,0.0166885792693497,0.0151139272826538,0.0114200662615496,-4.28742448442388,-0.1209462571987083,20.773540711172718,0.0762467396325688,-0.1275520781604217,-1.194536315515768,3.0866343782630907,-0.0195328659854897,0.0270209610717092,0.2528107140179689,0.1670092689324056,1.3488516068855292,-3.590810799751877,1475.0,0.0244064897652407,COVID crash,0,-1,-0.5606893878598372
ABT,2020-03,-0.0054194832622055,0.1604409490419047,0.0105009911025795,-0.1121735972724827,0.070626378452158,0.054187794237428,0.028766248062268,-0.7467199899391423,0.0066207345934584,51.541378949212536,0.0493386520911962,0.6319343534408904,0.7888529681742762,1.6387901814342123,0.2726145463143875,0.0858482535142246,0.5540636928461073,0.0410661189682486,3.579671890329596,-0.6719708012619217,1475.0,0.167025588019249,COVID crash,0,-1,-0.6151087448989475
ACGL,2020-03,-0.0681074680036294,0.0958798443370596,-0.2068005181636808,-0.4057214517561744,0.0985978383592826,0.0712579334125794,0.0451145162703063,-3.27669965888637,-0.2043538336554573,39.97137555548367,0.0605320146838268,0.371272548229205,0.4102272608089476,1.7353267489584216,0.5016012960932341,0.1158518179170176,0.2086676195651483,0.3009798452556551,4.291514258907412,-1.627040124672935,765.0,-0.1556570033324685,COVID crash,2,-1,-0.7200261113405643
ACGL,2020-04,-0.0605941939059058,-0.0498221157094956,-0.224838683691273,-0.1258639095984944,0.0352135073697708,0.0598644028890311,0.0307537116426959,-0.7355562900160764,-0.0990551721169381,38.64997237646841,-0.0154906389861408,0.2018612743700457,0.13047640089231,0.9061824508567904,0.0760417938889987,0.0598061936301807,0.0308988424884016,-0.1592318699462944,2.1911482385755647,-1.1338208003521535,765.0,0.1743653542074064,COVID recovery,2,-1,-0.6431994450490501
ACGL,2022-10,0.0144671608408297,0.2100168318190773,0.2341703893857536,0.2110362334312396,0.0330866697558426,0.0315595798841328,0.0132274174586517,3.4581293996497218,0.2120147756037085,77.46631966936587,0.250605049475034,1.1888847508711131,0.9148060419163602,12.998559328676292,-0.0010194016121622,0.0318260897817217,0.9999999999385726,0.0889527423148142,1.8836296840857607,4.192483137085688,765.0,0.0419130184830143,rate-hike bear,2,-1,-0.5757472454197248
ACN,2020-02,-0.0313772863938075,-0.1636255606137555,-0.1464694776964129,-0.1286790306122693,0.0184306163126309,0.0159987844675304,0.0128258750529561,-4.420790586817647,-0.1309000204613579,18.457849142506845,0.071476239897864,-0.1798342326314875,-3.2883440849077608,2.6319213498992298,-0.0349465300014861,0.0282763974143778,0.3786402865553933,0.3099361119600066,1.5197321550611291,-4.115487947046369,869.0,-0.0959635439636366,COVID crash,1,-1,-0.546804185795262
ACN,2020-03,-0.0386291527277158,0.0888354891790892,-0.0112047649745827,-0.2362462061464056,0.069508438987495,0.0550036445845481,0.0264637803551651,-2.166742848012253,-0.0653286203654667,46.41120934384693,-0.0193857697759308,0.5028514915517277,2.437421276601752,0.605568243944062,0.3250816953254949,0.0900142351387791,0.270939873679706,0.0928040423357801,3.8043343302001182,-1.2636244965954273,869.0,0.134325753706052,COVID crash,1,-1,-0.6255431846151723
