Ticker,ESG_Score,Predicted_Return,Actual_Return,Sharpe_30d,Volatility_30d,n_months
A,1090.7558139534883,0.010551286,0.008382867093472295,0.6805726116130743,0.017096585278012943,86
AAPL,824.6511627906976,0.008457904,0.024893238145341837,1.4464950642909207,0.017420671056387647,86
ABBV,990.7790697674419,0.007193111,0.017722023255466686,1.1698247452140698,0.014796581105854238,86
ABT,1373.6511627906978,0.004926285,0.007289905004220144,0.6516713416221533,0.01445906353604166,86
ACGL,833.0348837209302,0.009073689,0.0174715019439847,1.3580815261153723,0.016440711181561533,86
ACN,932.6395348837209,0.0064426446,0.007068968554716205,0.8874114072056499,0.016524846396349956,86
ADBE,722.3139534883721,0.014285266,0.00439696846456719,0.7859998463699619,0.020088011367373225,86
ADI,703.0697674418604,0.014693543,0.018604234867096642,0.8019328273592625,0.020135570641786085,86
ADM,822.5813953488372,0.009071644,0.011124022893423336,0.608810550481447,0.016870835263355283,86
ADP,934.8023255813954,0.0046545537,0.008084583756151698,0.8923114263417381,0.014180966072955025,86
ADSK,878.6976744186046,0.01229318,0.010074349648203413,0.7107192126620191,0.02132397603933213,86
AEE,1126.3720930232557,0.0076184836,0.00907643760694008,0.7958900543086354,0.012569707331058295,86
AEP,938.8372093023256,0.004866588,0.010547906882404461,1.0418966215105105,0.012683431572741962,86
AES,1315.2674418604652,0.017943606,0.00728869713024449,0.435601186447013,0.021468610600896013,86
AFL,1213.4883720930231,0.006519015,0.013980194380619974,1.0224953182924639,0.014417280314401742,86
AIG,733.5232558139535,0.013794913,0.013068245859798292,0.8565479698589262,0.018466409326274958,86
AIZ,1243.6744186046512,0.0065671587,0.012980056802613986,1.0470348991198266,0.015380527308979123,86
AJG,747.8837209302326,0.0056737857,0.015834100302801586,1.2016144379319265,0.013860649035667902,86
AKAM,1291.6627906976744,0.005422013,0.009528991179548373,0.6786039259255815,0.017367212394920548,86
ALB,843.0232558139535,0.030272808,0.020842414675766686,0.36854517167163703,0.03108645483649968,86
ALGN,801.8488372093024,0.021762405,0.006505391181189466,0.3328585701186163,0.030918935804411424,86
ALL,762.9302325581396,0.0075976932,0.01403370932520158,1.039067438048698,0.015345898922713774,86
ALLE,1089.4651162790697,0.012299137,0.010001968239279362,0.5194868097005285,0.016582864502595995,86
AMAT,1362.406976744186,0.023313187,0.032336178140629855,1.0211009380227936,0.026755580709199055,86
AMCR,809.7674418604652,0.011103005,0.0035427956895395943,0.35095152158411164,0.015466957949813872,86
AMD,829.8488372093024,0.031846788,0.034809633670622016,0.8576690976500195,0.032018882441055906,86
AME,834.3023255813954,0.006243046,0.015369247128021733,1.1644358830362793,0.014091780896285582,86
AMGN,1298.7441860465117,0.0077395895,0.012506263602147237,0.37826857391804264,0.014618156071368953,86
AMP,1239.8837209302326,0.0113972165,0.019695283299882214,1.1320915981529716,0.018745054032241505,86
AMT,1003.9418604651163,0.010471631,0.0045779651863902746,0.6009062331569961,0.016104765066686823,86
AMZN,1316.9883720930231,0.010794055,0.014051651897472362,0.6360791898815645,0.020007141411081068,86
ANET,1285.4302325581396,0.021025043,0.03290693995035457,1.1986685649077728,0.026187189943086307,86
AON,1276.1046511627908,0.00357866,0.011489749899166266,0.9083246119924816,0.014589757479888789,86
AOS,1079.3139534883721,0.012131562,0.008848600693237804,0.17107280728042285,0.01746815882915021,86
APA,1298.1162790697674,0.036251407,0.022266115396533562,0.22677263846905796,0.033934197790430595,86
APD,1218.4651162790697,0.0057287957,0.011320086666095302,0.8223644339264545,0.015356995276543122,86
APH,1303.093023255814,0.010777856,0.024266639565501114,1.4790451428938514,0.01695182109779483,86
APO,1073.7790697674418,0.02012214,0.02413849977566895,1.0057945938772048,0.022897846742699277,86
APTV,1299.0,0.018402353,0.005709868142085513,0.42466189084093475,0.024112034743347,86
ARE,1361.360465116279,0.0105099855,-0.005335248772371492,0.3805869154094319,0.017437840550842257,86
ARES,760.2325581395348,0.013775806,0.026603467368028277,1.3584837918476604,0.020932349686877495,86
ATO,1018.2558139534884,0.0051631364,0.010952097027367564,0.9386099967435425,0.012535849142717442,86
AVB,967.9651162790698,0.0061094332,0.002849929253314801,0.640028377043863,0.014550872402183574,86
AVGO,1104.1279069767443,0.016887067,0.03604629268105362,1.2311548539357093,0.023463948567795802,86
AVY,833.4186046511628,0.008430531,0.009487637896376102,0.8466450189265522,0.016596773107140413,86
AWK,924.2558139534884,0.005633699,0.007502423197319665,0.4899851426773924,0.014236813609894679,86
AXON,1130.7093023255813,0.020227391,0.03362964471437738,1.0739289487145516,0.027907640457584818,86
AXP,925.0581395348837,0.008572729,0.017059923973367423,0.9226900510177841,0.019001975784264914,86
AZO,906.2325581395348,0.006873836,0.01865363568953183,0.8858898917696596,0.01523689930301726,86
BA,747.1279069767442,0.020741878,0.0005265894529208211,0.2084440762401364,0.024545345916795764,86
BAC,1121.5232558139535,0.011481276,0.011961814269408419,0.7313059795026476,0.017727732423019074,86
BALL,707.0232558139535,0.010799981,0.005647975493524696,0.7647047437599205,0.0175604699923918,86
BAX,810.453488372093,0.008835935,-0.011811250819549533,0.011160513179611963,0.017769560927367898,86
BBY,1225.8953488372092,0.018977791,0.0093727501133258,0.3331784470946102,0.022927762409308595,86
BDX,1129.5697674418604,0.0048512816,0.0007366108809934108,0.4996947348886196,0.013984146623805939,86
BEN,1368.7558139534883,0.015362697,0.00594868723582048,0.08345432739912914,0.020477857865317837,86
BF-B,830.5232558139535,0.00735675,-0.0029812457087787327,-0.022466778553202508,0.01605895911144711,86
BG,1004.8372093023256,0.012667925,0.015773005103783117,0.5851489522139423,0.01860449971767476,86
BIIB,1050.9302325581396,0.015515501,-0.0027592108626657173,-0.24183500143486156,0.02276126853550395,86
BK,872.0813953488372,0.009807743,0.014618361060075562,1.1925692348309276,0.016119712645546916,86
BKNG,1240.1511627906978,0.0071363985,0.014061815574640158,0.826518155077067,0.01980033773243548,86
BKR,1035.1744186046512,0.02597853,0.02149340509770216,0.6900290041253746,0.023124480079807753,86
BLDR,1283.8139534883721,0.030238034,0.031877984841275325,0.984103045449104,0.0285210476086223,86
BLK,734.4767441860465,0.008595124,0.015010777480052835,0.8497754593506045,0.015989415105665875,86
BMY,791.5,0.006774078,0.007766260270563359,0.26467685504502164,0.014658725316681965,86
BR,1114.8837209302326,0.0045772674,0.009238186436009916,0.8292496836160338,0.013982599799400973,86
BRK-B,1191.5,0.004748371,0.011490486828659585,0.9486060364259684,0.010994459032025656,86
BRO,1382.953488372093,0.0040793177,0.013422683460272469,1.1658950549066232,0.014916364511869104,86
BSX,880.5116279069767,0.008431103,0.008054807791573587,1.2136867459648302,0.015667405527963002,86
BX,828.5697674418604,0.016471578,0.02283092707532087,1.2626502718454171,0.02191834838143276,86
BXP,1254.7558139534883,0.018777413,-0.0029880898001659736,0.15693132531109244,0.019973992119361437,86
C,936.3139534883721,0.01498863,0.01443734648369143,0.7051410580291462,0.019026680610914608,86
CAG,1151.4302325581396,0.011089265,0.0023619963087089077,0.2343043823271139,0.015935847245397997,86
CAH,1027.7209302325582,0.008512051,0.022229449180080407,1.1268145806221506,0.016410916004398788,86
CAT,1126.8255813953488,0.013209221,0.025485875651447956,0.872258202480137,0.01864300627063901,86
CB,931.1046511627907,0.0071942722,0.01382891164479808,1.1280205290920415,0.014259357529320638,86
CBOE,1307.8255813953488,0.009022627,0.015705786325742422,1.0906417113786733,0.014669453671502493,86
CBRE,1015.1046511627907,0.01390479,0.017136609047397323,1.1026584957519912,0.01998787537604739,86
CCI,1003.8720930232558,0.010993191,0.0017813318481512256,0.4790047336416386,0.016032216108103466,86
CCL,1207.139534883721,0.029642759,0.007643139845786364,0.3174159115822077,0.035097328553392565,86
CDNS,1020.4186046511628,0.013798129,0.024105718061956244,1.3206965043721433,0.021412733325167802,86
CDW,1247.1627906976744,0.0104029905,0.008427881470304694,0.5010014729076345,0.01798165648926946,86
CF,725.1976744186046,0.02310981,0.02040353305277479,0.500193288841339,0.022892062317938666,86
CFG,1311.3255813953488,0.020124195,0.016622597023201797,0.8712279023881683,0.022617946753943522,86
CHD,730.3139534883721,0.005335682,0.007128054132770523,0.7117797472416023,0.013304460339243977,86
CHRW,967.2441860465116,0.0047438266,0.01255222654910985,0.46373178087372524,0.01829571909508625,86
CHTR,1119.1860465116279,0.00944578,0.000553945015127322,0.3037765886155462,0.020275956984925313,86
CI,853.4651162790698,0.005037014,0.007980508063434739,0.3882409896728386,0.018417166903104264,86
CIEN,1033.1860465116279,0.01700148,0.03485934383209478,1.09441928809929,0.02464247208064538,86
CINF,766.6976744186046,0.0061282087,0.012740861322881557,0.8410956114371704,0.017537553363974608,86
CL,1044.639534883721,0.00385681,0.006517008266957581,0.8489264512889781,0.011726019768981084,86
CLX,1131.453488372093,0.0071399705,0.0008363895523560359,0.2282880768259899,0.014566204931820016,86
CMCSA,838.7790697674419,0.0079160575,0.002807378160019153,0.2512032394117015,0.016148787612263238,86
CME,841.1860465116279,0.008467917,0.010229833374236576,0.7970966698688009,0.01356303074932176,86
CMG,1256.0813953488373,0.011282117,0.017709854202939704,0.9988776879915138,0.020704233629085165,86
CMI,1143.406976744186,0.011028087,0.0202697025979761,0.6972914511891202,0.01675176995815183,86
CMS,820.3255813953489,0.004187994,0.008429022968849441,0.8956958888464842,0.012362536266176442,86
CNC,828.5930232558139,0.019762505,-0.0014081838177644516,-0.08751421963407759,0.022162664084756267,86
CNP,1215.453488372093,0.00965335,0.008947666308423028,0.7218359211831856,0.014402023344222772,86
